State,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Percent,Absolute
Alabama,31.6,28.8,25.9,21.9,24.9,22.9,22.2,23.8,26.2,25.4,25.5,25.8,28.8,27.4,28.4,29.1,29.9,29.0,26.5,26.8,26.2,22.7,22.4,23.7,24.0,22.7,22.1,21.5,21.1,17.4,18.9,19.3,21.4,21.1,22.2,21.1,21.2,21.1,22.0,-30.4%,-9.6
Alaska,6.8,5.0,11.1,11.9,12.5,12.0,12.3,12.8,14.9,16.2,16.3,17.9,19.4,19.1,18.6,22.1,23.2,21.8,22.4,21.3,21.3,21.5,21.9,21.7,20.9,22.4,19.0,19.2,17.0,17.4,16.8,17.0,17.4,17.3,17.0,16.9,16.8,16.8,17.4,155.9%,10.6
Arizona,5.3,6.5,5.8,5.7,6.4,5.6,6.4,3.5,3.7,4.2,3.9,4.0,4.0,4.0,4.4,4.7,4.9,5.0,4.7,4.8,4.8,4.9,4.3,4.1,4.6,5.0,5.1,4.9,5.5,4.3,4.7,5.1,5.0,4.6,4.5,4.4,4.6,5.0,4.7,-11.3%,-0.6
Arkansas,10.7,11.3,10.2,9.4,8.9,9.7,9.2,6.6,9.2,10.3,9.5,8.2,9.7,9.8,10.6,11.6,11.4,11.7,11.6,11.2,11.4,11.3,10.7,10.8,10.4,10.1,10.1,9.9,10.5,8.1,9.0,9.0,8.6,9.2,9.1,8.3,8.2,8.5,9.1,-15.0%,-1.6
California,65.8,58.2,52.0,56.7,69.9,67.3,62.4,69.7,66.2,65.4,67.1,67.8,68.6,65.8,65.2,63.5,65.3,70.0,68.4,66.7,67.2,69.3,70.1,70.6,74.1,70.9,70.1,68.3,66.7,62.8,65.3,65.2,65.1,69.0,68.8,68.8,69.0,68.7,67.9,3.2%,2.1
Colorado,10.6,8.6,7.3,6.5,6.3,5.4,5.6,5.1,5.9,6.5,6.6,7.5,7.7,8.4,7.8,7.7,8.0,8.3,8.8,8.4,9.2,12.8,12.1,11.9,12.5,13.5,13.5,13.5,13.9,13.5,14.5,13.1,13.3,13.3,14.2,14.5,12.5,13.0,13.5,27.4%,2.9
Connecticut,6.3,3.5,3.8,3.0,3.4,3.1,3.0,3.3,3.3,3.1,3.0,3.2,3.4,3.5,3.1,2.8,3.0,2.8,2.7,2.7,2.8,2.6,2.5,3.0,2.8,2.9,2.8,2.5,1.9,2.1,2.0,2.1,2.0,2.2,2.1,1.9,1.8,1.8,1.9,-69.8%,-4.4
Delaware,3.8,2.7,2.6,2.8,3.4,2.9,2.8,3.0,3.1,3.0,3.0,2.9,3.1,3.4,3.5,3.4,3.3,3.1,3.1,3.4,3.7,3.7,3.2,2.9,3.1,3.3,3.1,3.0,2.8,1.5,0.8,2.7,3.1,3.2,3.1,3.2,3.4,3.1,3.1,-18.4%,-0.7
District of Columbia,0.3,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0%,-0.3
Florida,19.0,15.3,11.6,11.7,13.0,13.6,11.4,11.0,12.6,12.1,12.4,11.8,13.4,14.7,15.5,16.9,16.9,15.7,16.0,16.2,15.3,14.5,13.0,13.9,12.8,13.1,13.2,11.9,11.6,10.4,11.8,10.4,10.7,11.1,10.9,11.7,12.0,12.3,12.3,-35.3%,-6.7
Georgia,16.4,15.6,14.5,15.2,16.9,20.2,15.6,16.5,17.4,17.7,18.9,18.4,18.4,17.9,18.6,19.6,20.2,19.5,18.0,17.9,19.0,18.4,18.2,19.0,19.1,19.2,18.2,16.8,15.5,13.6,14.6,14.0,13.4,14.0,14.6,13.4,13.3,12.8,13.3,-18.9%,-3.1
Hawaii,1.8,1.7,2.2,1.0,1.0,1.2,1.7,1.7,2.1,1.8,2.1,2.0,2.0,2.0,2.3,2.3,2.3,2.1,1.7,1.5,1.4,1.4,1.5,1.6,1.6,1.8,1.9,1.7,1.6,1.6,1.6,1.6,1.5,1.4,1.4,1.4,1.4,1.5,1.4,-22.2%,-0.4
Idaho,3.8,3.6,3.2,3.0,2.8,2.8,2.7,3.0,3.1,3.3,3.5,4.0,3.4,3.5,3.6,3.8,4.1,3.6,3.7,3.7,4.2,4.0,3.8,3.5,3.8,4.0,3.5,3.5,3.3,3.3,3.4,3.6,3.3,3.5,3.6,3.4,3.4,3.4,3.5,-7.9%,-0.3
Illinois,56.9,49.2,42.8,43.6,45.7,43.0,45.1,48.6,51.0,42.2,42.1,42.4,42.0,43.4,44.5,44.7,45.7,46.2,43.1,42.9,40.6,37.2,36.6,36.1,36.3,36.6,36.0,36.5,35.6,30.1,35.5,36.9,36.8,37.8,38.4,34.5,33.7,34.3,34.2,-39.9%,-22.7
Indiana,64.7,63.5,50.0,50.0,51.8,51.6,47.1,50.8,54.6,53.8,52.9,50.4,48.9,47.6,43.0,45.5,47.5,47.7,48.0,48.9,53.1,53.5,52.9,53.6,54.6,51.4,50.7,50.3,47.1,40.6,46.3,45.1,43.4,45.1,43.6,42.1,42.5,42.5,44.5,-31.2%,-20.2
Iowa,13.2,12.6,11.5,10.4,10.8,11.1,11.3,11.3,12.0,12.1,12.0,12.8,13.3,14.4,15.1,15.6,15.1,14.6,15.3,15.6,15.4,15.0,14.9,14.0,15.3,15.4,16.0,17.1,18.8,18.4,19.7,19.9,18.8,20.1,19.8,19.7,19.9,22.5,23.1,75.0%,9.9
Kansas,16.8,14.9,14.9,13.7,18.5,17.3,15.0,16.4,16.7,16.0,15.9,15.2,16.3,15.6,17.5,13.7,14.2,15.4,13.8,14.1,13.9,12.4,13.7,13.8,12.6,11.1,12.8,16.1,12.6,11.4,11.6,11.7,11.8,11.8,11.8,12.3,12.8,13.2,13.4,-20.2%,-3.4
Kentucky,17.6,14.2,13.9,14.7,17.0,17.2,15.5,16.1,15.9,17.0,17.4,16.0,16.2,17.6,17.5,19.1,19.5,18.7,17.2,16.5,16.1,17.1,16.8,16.1,17.1,17.3,18.1,17.8,17.3,14.9,17.5,17.8,15.9,14.8,14.0,14.0,13.3,13.5,13.7,-22.2%,-3.9
Louisiana,120.5,117.0,105.7,101.4,102.8,91.0,95.7,97.3,98.2,102.0,107.4,103.8,108.7,110.6,113.3,112.6,115.3,121.1,105.2,104.9,114.8,99.7,105.8,103.9,113.2,106.7,115.2,118.8,122.9,111.3,116.9,116.8,113.9,109.4,110.2,110.5,115.1,121.3,122.8,1.9%,2.3
Maine,2.7,3.3,6.5,2.9,3.7,2.4,4.6,3.2,3.9,3.7,3.5,4.1,5.5,5.2,6.5,5.1,5.2,4.6,3.9,3.6,4.5,3.7,4.1,2.5,3.5,3.3,3.4,3.5,3.2,2.9,2.8,2.7,2.4,2.4,1.9,1.7,1.5,1.5,1.6,-40.7%,-1.1
Maryland,15.1,14.2,12.2,12.5,14.7,12.5,11.8,12.5,12.3,12.0,11.2,9.3,6.3,6.5,6.5,6.2,6.8,7.2,6.1,5.9,6.0,6.7,6.5,6.2,6.5,6.6,6.3,5.7,5.5,4.6,4.5,4.4,3.9,3.3,3.5,3.3,3.0,3.0,3.0,-80.1%,-12.1
Massachusetts,4.9,6.1,5.8,6.2,7.4,7.7,9.8,8.5,5.8,5.8,5.8,5.1,6.9,7.1,6.1,5.4,5.4,5.5,5.4,6.1,5.9,7.1,6.9,4.5,4.3,4.6,4.5,4.4,3.9,3.2,3.6,3.9,3.4,3.6,3.5,3.5,3.4,3.5,3.5,-28.6%,-1.4
Michigan,41.6,37.5,33.4,31.1,32.3,33.1,33.3,26.5,30.9,29.7,33.4,30.3,30.6,26.3,28.7,29.2,29.8,27.8,26.3,30.0,28.1,26.4,24.6,23.6,24.3,24.9,23.2,20.6,20.1,15.3,17.7,18.0,17.8,19.9,19.7,19.6,17.7,18.7,19.2,-53.8%,-22.4
Minnesota,13.2,11.2,11.1,9.9,9.7,10.0,10.5,10.4,10.9,11.4,12.3,11.8,13.1,13.5,13.9,14.3,16.0,15.1,15.0,14.5,14.8,13.4,13.8,13.7,14.3,14.5,14.5,15.4,16.9,15.2,17.2,17.3,17.1,17.9,18.6,16.5,17.1,17.8,17.8,34.8%,4.6
